-1	-1	-1	1028	866	70	1555	1030	1378	1130	1685	1276	563	1183	1149	1034	274	315	1688	1454	63	20	95	1422	1902	1942	322	369	198	803	1131	1012	956	38	1052	1540	1142	162	1494	539	-2	-2	-2
-1	-1	-1	735	714	809	33	750	343	914	513	1056	1549	2053	809	1464	1364	112	1470	663	353	138	0	2065	458	420	1587	1188	1106	746	1586	882	279	926	1192	752	1636	870	1434	1966	1118	-2	-2
-1	-1	1718	1917	338	180	1440	973	1046	988	1097	1182	910	590	428	1858	505	287	2087	1345	826	1866	1120	662	646	0	239	666	1212	142	1447	1608	1610	169	1261	1809	306	1083	928	1554	23	-2	-2
-1	-1	1075	473	979	615	1618	387	2065	704	1508	1745	211	1519	1418	1780	1195	255	1949	1706	1400	694	1158	1434	210	823	38	0	973	1976	703	1411	647	1726	1679	467	2071	928	1145	1369	1448	887	-2
-1	199	854	1467	1155	1581	884	1554	819	465	222	249	1324	1786	987	1973	419	1410	150	124	1746	1160	1550	1895	52	546	2083	1336	921	2046	1717	150	2008	665	1465	571	731	1702	309	2008	1639	398	-2
-1	1142	1819	1039	1235	1199	459	1716	2082	442	2045	366	1770	28	1217	1587	471	1456	1752	1343	631	0	1699	2027	1894	72	364	1299	988	472	39	185	1985	595	1011	1143	1311	491	12	522	639	1516	1196
50	232	2005	1551	1747	1692	2048	154	784	517	2024	1087	159	1237	284	1222	1074	1933	426	1336	544	1459	514	1169	1965	793	1633	1327	1363	1644	986	201	936	1850	331	1262	1375	1247	1696	414	152	312	1456
11	2077	959	1928	94	1685	863	1259	1679	1905	1225	978	1687	55	1277	480	1956	753	567	655	94	96	591	949	1281	1796	1316	1209	1936	1024	1464	1065	1229	82	1952	78	1364	408	1187	877	971	1300	2032
1603	54	1176	71	290	725	1406	230	1846	186	1182	406	0	413	1040	1002	527	1763	807	1184	127	0	1622	1598	684	1179	291	644	2032	1593	1481	1957	664	971	503	290	1981	982	1251	1171	1164	1559	1945
106	966	1722	883	606	1263	1617	450	1110	21	1881	499	554	119	452	1798	979	416	1274	592	1831	203	1172	1126	1739	1429	355	1281	2088	173	257	1018	1765	443	0	1341	1844	557	894	1819	1642	293	692
292	1110	904	541	257	651	1975	1669	57	1121	1226	1546	1525	1125	1919	1226	1571	179	1248	694	1387	638	1243	601	306	1096	37	1056	1772	1327	1436	1012	1949	940	1432	699	1022	998	43	1108	878	1261	1371
520	511	114	1603	631	1820	206	379	751	1678	1380	1220	1972	970	890	296	527	652	1379	810	1890	778	394	1469	1072	740	1797	1653	618	736	276	1139	733	1512	1511	732	587	670	836	120	1960	711	1196
628	155	1751	120	123	498	998	1888	1521	1174	34	773	664	0	734	1507	1899	575	2063	1352	1223	160	313	1941	1962	1758	172	1659	446	968	124	211	761	1620	1358	1951	1060	296	1647	1390	2012	559	1634
1993	638	1013	667	78	1873	948	1234	424	463	1801	1071	1585	1617	56	974	582	722	1656	534	519	1288	1187	1927	1198	2004	1274	1481	748	1759	753	1173	1869	1522	1818	991	1155	1361	960	942	1680	1754	1704
317	556	1208	2030	1377	19	1817	1309	319	42	917	301	1056	1843	1666	294	1967	1083	354	879	1259	352	437	914	1904	1709	596	1491	1577	2075	843	619	2056	600	531	1958	585	1988	2072	1595	138	715	1505
2066	1631	329	113	1768	1298	244	1314	616	1949	1986	2081	1537	1	1937	347	422	843	2009	1248	1697	122	906	440	1871	2010	444	1078	1965	785	1050	932	1393	1809	64	516	1384	1111	1663	503	50	1948	528
1377	2044	273	2013	743	1123	946	1303	1468	1880	169	1453	1736	122	775	1797	398	1300	1034	804	10	806	454	594	977	1460	1544	1977	1808	1833	373	318	1217	1210	869	1215	580	1630	2057	1400	1116	1433	1120
1126	2050	383	199	1302	295	1769	1487	522	1363	27	1992	1069	1845	1817	1908	1414	1993	461	757	412	251	568	1886	1921	163	1240	1564	1578	1882	285	91	2054	68	451	1150	2084	1665	1292	79	1731	1719	262
